"id","name","continent","type"
"00","デフォルト","00",1
"de_nazi","ナチス・ドイツ","1主要",0
"en_american","アメリカ","1主要",0
"ru_bukharinism","ブハーリン主義ロシア","1主要",0
"ru_monarchy","君主制ロシア","1主要",0
"ru_stalinism","スターリン主義ロシア","1主要",0
"ru_trotskyism","トロツキー主義ロシア","1主要",0
"de","ドイツ語","1主要",1
"en","英語","1主要",1
"fr","フランス語","1主要",1
"it","イタリア語","1主要",1
"ja","日本語","1主要",1
"la","ラテン語","1主要",1
"ru","ロシア語","1主要",1
"ar","アラビア語","1大陸間",1
"es","スペイン語","1大陸間",1
"nl","ネーデルラント語","1大陸間",1
"pt","ポルトガル語","1大陸間",1
"ota","オスマン語","2アジア",0
"az","アゼルバイジャン語","2アジア",1
"fa","ペルシャ語","2アジア",1
"hy","アルメニア語","2アジア",1
"kk","カザフ語","2アジア",1
"mn","モンゴル語","2アジア",1
"ms","マレー語","2アジア",1
"tr","トルコ語","2アジア",1
"vi","ベトナム語","2アジア",1
"zh","中国語","2アジア",1
"br","ブリトン語","2アジア",2
"ko","朝鮮語","2アジア",2
"mnc","満州語","2アジア",2
"ps","パシュート語","2アジア",2
"ta","タミル語","2アジア",2
"ug","ウイグル語","2アジア",2
"HUN_JAP","日本領洪牙利","3ヨーロッパ",0
"be","ベラルーシ語","3ヨーロッパ",1
"bg","ブルガリア語","3ヨーロッパ",1
"cs","チェコ語","3ヨーロッパ",1
"da","デンマーク語","3ヨーロッパ",1
"el","ギリシャ語","3ヨーロッパ",1
"fi","フィンランド語","3ヨーロッパ",1
"hu","ハンガリー語","3ヨーロッパ",1
"is","アイスランド語","3ヨーロッパ",1
"lb","ルクセンブルク語","3ヨーロッパ",1
"lt","リトアニア語","3ヨーロッパ",1
"lv","ラトビア語","3ヨーロッパ",1
"pl","ポーランド語","3ヨーロッパ",1
"ro","ルーマニア語","3ヨーロッパ",1
"sq","アルバニア語","3ヨーロッパ",1
"sr","セルビア語","3ヨーロッパ",1
"sv","スウェーデン語","3ヨーロッパ",1
"uk","ウクライナ語","3ヨーロッパ",1
"co","コルシカ語","3ヨーロッパ",2
"crh","クリミア・タタール語","3ヨーロッパ",2
"csb","カシューブ語","3ヨーロッパ",2
"eu","バスク語","3ヨーロッパ",2
"hr","クロアチア語","3ヨーロッパ",2
"mk","マケドニア語","3ヨーロッパ",2
"oc","オック語","3ヨーロッパ",2
"scn","シチリア語","3ヨーロッパ",2
"sco","スコットランド語","3ヨーロッパ",2
"sk","スロバキア語","3ヨーロッパ",2
"sl","スロベニア語","3ヨーロッパ",2
"ch","チャモロ語","6大洋州",2
"fj","フィジー語","6大洋州",2
"gil","キリバス語","6大洋州",2
"haw","ハワイ語","6大洋州",2
"pau","パラオ語","6大洋州",2
"ty","タヒチ語","6大洋州",2
